id;supplier_name;supplier_group;safety_passed;initiator;approver;evaluation_date;stability_score;stability_remarks;sustainability_score;sustainability_remarks;final_score;pass;created_at;status;rejection_reason;stability_details;sustainability_details;business_number
1654f379-6c13-4990-b0e2-d6c9b14b0b64;대성종합상사;G;true;김득원;김정욱;2025-11-10;10.00;;86.00;;96.00;true;2025-11-10 02:01:10.930538+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":3,""performanceCount"":3,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":96}";6063278345
944bf33f-5c3d-43e1-854d-644489d0bd8a;플러스안전;G;true;김득원;김정욱;2025-11-07;7.00;;84.00;;91.00;true;2025-11-07 00:58:23.867542+00;approved;;"{""conversion"":7,""debt"":4,""equity"":5,""expertise"":4,""liquidity"":1,""totalScore"":70}";"{""conversion"":84,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":3,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":3,""urgentResponse"":4},""totalScore"":93}";6063257073
e387a4e9-ce84-472a-8b3c-a3e096b7876a;(주)이노브;E;true;김서하;이민선;2025-11-24;6.00;;84.00;;90.00;true;2025-11-24 05:38:31.000612+00;pending;;"{""conversion"":6,""debt"":1,""equity"":5,""expertise"":2,""liquidity"":4,""totalScore"":60}";"{""conversion"":84,""items"":{""adequatePersonnel"":4,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":2,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":4,""turnoverRate"":5},""totalScore"":93}";1658502035
de7394b3-2954-47b6-982b-6763496c1209;한국가스;C;true;김희진;이민선;2025-11-06;10.00;;90.00;;100.00;true;2025-11-06 00:16:43.856696+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":90,""items"":{""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""durability"":4,""performanceAmount"":5,""performanceCount"":5,""productVariety"":4,""qualityMgmt"":4,""regulationCompliance"":4,""timelyDelivery"":4,""urgentResponse"":4},""totalScore"":100}";6061115364
3ac1d8c5-c57c-4055-be49-958190ccd7c7;사단법인 부산신항보안공사;E;true;김희진;이민선;2025-11-10;10.00;;90.00;;100.00;true;2025-11-10 23:35:45.612165+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";6068207845
bdbf1dec-fa59-45c6-b054-bfdb4b388ba6;(주)케이엔에스;E;true;김희진;이민선;2025-11-10;10.00;;90.00;;100.00;true;2025-11-10 23:38:07.281475+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";6078174845
02dec2af-d588-4e98-abcf-438e91c66814;주식회사 피아이에스엔지니어링;E;true;김희진;이민선;2025-11-10;9.00;;90.00;;99.00;true;2025-11-10 23:39:48.228457+00;pending;;"{""conversion"":9,""debt"":5,""equity"":5,""expertise"":2,""liquidity"":5,""totalScore"":85}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";1518702082
d757dd6f-2692-466c-bbab-794d38cd4e4a;에이치디현대오일뱅크 주식회사;C;true;김희진;이민선;2025-11-10;6.00;;90.00;;96.00;true;2025-10-30 06:40:09.493628+00;pending;;"{""conversion"":6,""debt"":1,""equity"":5,""expertise"":5,""liquidity"":1,""totalScore"":60}";"{""conversion"":90,""items"":{""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""durability"":4,""performanceAmount"":5,""performanceCount"":5,""productVariety"":4,""qualityMgmt"":4,""regulationCompliance"":4,""timelyDelivery"":4,""urgentResponse"":4},""totalScore"":100}";3108120275
1e4130b4-26ee-4f62-abf6-23a2e1251b77;부산하우스;G;true;김희진;이민선;2025-11-10;10.00;;86.00;;96.00;true;2025-11-10 23:44:27.603888+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":1,""performanceCount"":4,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";6170375033
ddc29969-8c06-412f-b5bc-4a676237cf29;(주)고암;E;true;김희진;이민선;2025-11-10;5.00;;86.00;;91.00;true;2025-11-10 23:56:01.64177+00;pending;;"{""conversion"":5,""debt"":1,""equity"":2,""expertise"":5,""liquidity"":1,""totalScore"":45}";"{""conversion"":86,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":1,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":96}";1058137363
